,symbol,historical
71,AAPL,"{'date': '2020-03-23', 'open': 228.08, 'high': 228.5, 'low': 212.61, 'close': 224.37, 'adjClose': 223.76, 'volume': 84188200.0, 'unadjustedVolume': 84188200.0, 'change': -3.71, 'changePercent': -1.627, 'vwap': 221.82667, 'label': 'March 23, 20', 'changeOverTime': -0.01627}"
72,AAPL,"{'date': '2020-03-20', 'open': 247.18, 'high': 251.83, 'low': 228.0, 'close': 229.24, 'adjClose': 228.62, 'volume': 100423300.0, 'unadjustedVolume': 100423300.0, 'change': -17.94, 'changePercent': -7.258, 'vwap': 236.35667, 'label': 'March 20, 20', 'changeOverTime': -0.07258}"
73,AAPL,"{'date': '2020-03-19', 'open': 247.39, 'high': 252.84, 'low': 242.61, 'close': 244.78, 'adjClose': 244.12, 'volume': 67964300.0, 'unadjustedVolume': 67964300.0, 'change': -2.61, 'changePercent': -1.055, 'vwap': 246.74333, 'label': 'March 19, 20', 'changeOverTime': -0.01055}"
74,AAPL,"{'date': '2020-03-18', 'open': 239.77, 'high': 250.0, 'low': 237.12, 'close': 246.67, 'adjClose': 246.0, 'volume': 75058400.0, 'unadjustedVolume': 75058400.0, 'change': 6.9, 'changePercent': 2.878, 'vwap': 244.59667, 'label': 'March 18, 20', 'changeOverTime': 0.02878}"
75,AAPL,"{'date': '2020-03-17', 'open': 247.51, 'high': 257.61, 'low': 238.4, 'close': 252.86, 'adjClose': 252.18, 'volume': 81014000.0, 'unadjustedVolume': 81014000.0, 'change': 5.35, 'changePercent': 2.162, 'vwap': 249.62333, 'label': 'March 17, 20', 'changeOverTime': 0.02162}"
76,AAPL,"{'date': '2020-03-16', 'open': 241.95, 'high': 259.08, 'low': 240.0, 'close': 242.21, 'adjClose': 241.56, 'volume': 80605900.0, 'unadjustedVolume': 80605900.0, 'change': 0.26, 'changePercent': 0.107, 'vwap': 247.09667, 'label': 'March 16, 20', 'changeOverTime': 0.00107}"
77,AAPL,"{'date': '2020-03-13', 'open': 264.89, 'high': 279.92, 'low': 252.95, 'close': 277.97, 'adjClose': 277.22, 'volume': 92683000.0, 'unadjustedVolume': 92683000.0, 'change': 13.08, 'changePercent': 4.938, 'vwap': 270.28, 'label': 'March 13, 20', 'changeOverTime': 0.04938}"
78,AAPL,"{'date': '2020-03-12', 'open': 255.94, 'high': 270.0, 'low': 248.0, 'close': 248.23, 'adjClose': 247.56, 'volume': 104618500.0, 'unadjustedVolume': 104618500.0, 'change': -7.71, 'changePercent': -3.012, 'vwap': 255.41, 'label': 'March 12, 20', 'changeOverTime': -0.03012}"
79,AAPL,"{'date': '2020-03-11', 'open': 277.39, 'high': 281.22, 'low': 271.86, 'close': 275.43, 'adjClose': 274.69, 'volume': 63899700.0, 'unadjustedVolume': 63899700.0, 'change': -1.96, 'changePercent': -0.707, 'vwap': 276.17, 'label': 'March 11, 20', 'changeOverTime': -0.00707}"
80,AAPL,"{'date': '2020-03-10', 'open': 277.14, 'high': 286.44, 'low': 269.37, 'close': 285.34, 'adjClose': 284.57, 'volume': 71322500.0, 'unadjustedVolume': 71322500.0, 'change': 8.2, 'changePercent': 2.959, 'vwap': 280.38333, 'label': 'March 10, 20', 'changeOverTime': 0.02959}"
